prop1;prop2;prop3;allprop
0.7026466;0.38348055;-1.5788696;[ 0.7941836  0.23731   -1.594261 ]
1.114771;-0.25530595;-2.9146452;[ 1.2826146  -0.39661402 -2.902561  ]
0.6901832;1.2201415;-1.681246;[ 0.7855915  0.9351574 -1.7179123]
1.3015829;0.61237925;-3.9789596;[ 1.2971002   0.35729724 -3.171972  ]
0.65647703;0.82965636;-1.008389;[ 0.51987606  0.5954285  -1.0569892 ]
1.1750659;0.28644615;-0.8535213;[ 1.157648    0.18941191 -0.9799589 ]
0.6255387;0.38766992;-1.4901906;[ 0.55993855  0.2497804  -1.4227306 ]
1.1538669;-0.20974506;-2.884778;[ 1.3059081  -0.34140044 -2.510242  ]
0.67495185;-0.07255787;-1.1817856;[ 0.54672486 -0.13732877 -1.1745701 ]
0.888045;-0.66313726;-2.0356503;[ 1.1504573  -0.72778547 -2.024604  ]
1.0922841;-0.26113433;-1.1349772;[ 1.3108318  -0.29849088 -1.100239  ]
0.7153354;-0.081559524;-0.6921446;[ 0.53421295 -0.09402123 -0.7970323 ]
-0.6012957;0.17340581;-0.84072;[-0.59124625  0.12173477 -0.94929975]
0.625761;-0.50739914;-1.7320215;[ 0.5708493 -0.5141588 -1.7148118]
-0.19613008;0.39040518;-0.3084919;[-0.23354249  0.26954818 -0.54879206]
-1.1238941;2.1520667;0.0017065443;[-1.0737313   1.9092175  -0.09876904]
-0.8063628;2.1232674;-0.13374235;[-0.9096533   1.908559   -0.14940804]
2.6411822;-0.53005785;-0.45838904;[ 2.8883173  -0.6209782  -0.61312336]
0.28712726;0.46710545;0.16762201;[ 0.16943839  0.32316285 -0.09387544]
0.4075001;0.40090984;-0.070127785;[ 0.34326112  0.32017857 -0.22488679]
0.3682381;-0.4505849;-0.22229123;[ 0.317912   -0.49819005 -0.3937144 ]
1.6299255;-0.38424116;-0.22654575;[ 1.8419513 -0.5931357 -0.6610628]
0.3901261;-0.39980096;0.003345143;[ 0.30369067 -0.4342755  -0.27925888]
-0.3789174;0.3207655;-0.5507554;[-0.2990318   0.12190445 -0.6960467 ]
-1.6805472;2.9810247;-2.1906137;[-1.5829737  2.6905665 -1.5136579]
-0.93859035;2.0814612;-0.7044608;[-0.98999286  1.8296331  -0.7998905 ]
-0.6515232;1.2139491;-0.55219233;[-0.5652834   1.0129558  -0.56377524]
-0.39679825;0.33268028;-0.526536;[-0.30539107  0.17128469 -0.6101906 ]
-0.41376698;0.4001274;-0.36066997;[-0.40757757  0.2609596  -0.4882355 ]
-0.5029063;0.77931875;-0.596569;[-0.4136575   0.64161193 -0.6262432 ]
-0.40700132;0.4332304;0.24603388;[-0.18084826  0.33789122 -0.03496099]
-0.7401262;1.6780175;-0.9018469;[-0.77418506  1.476059   -0.72405475]
-1.1809579;1.7374448;-0.12007655;[-1.015445    1.5602614  -0.22638644]
-0.68020135;0.87343407;-0.30511117;[-0.6931597   0.73789895 -0.34857866]
-0.6213744;0.8054543;-0.47709453;[-0.5119922  0.5874136 -0.5964444]
-0.30529374;0.35715312;-0.1105717;[-0.0715728   0.19319896 -0.31675127]
-0.66655904;0.8408477;-0.30059865;[-0.6076592   0.7025801  -0.39464873]
-0.32152706;0.40570235;-0.07777783;[-0.20687886  0.32292557 -0.15338574]
-0.084490135;-0.48264813;-0.23720726;[-0.0030023  -0.5859558  -0.49552342]
-0.48622066;0.6559835;-0.67936;[-0.4030857   0.59999925 -0.6867089 ]
-1.0079093;1.5981854;-0.41097254;[-1.0184094   1.5005144  -0.42672768]
-0.8175714;1.5065774;-0.7278227;[-0.77991104  1.4115772  -0.70669657]
-0.88922983;1.5254534;-0.6731178;[-0.90699947  1.4037831  -0.66757447]
0.9080008;0.8926241;-1.6909349;[ 0.9213021   0.68515915 -1.7886095 ]
0.1327405;0.095500566;-0.3445194;[ 0.14909393 -0.0224352  -0.4560196 ]
0.5051441;-0.254138;-0.36214226;[ 0.55570984 -0.25521857 -0.423919  ]
0.60549843;1.5285095;-0.1849413;[ 0.5638437  1.2214168 -0.1158026]
0.9527183;1.083337;-1.2971963;[ 0.9443694  0.7755722 -1.3304566]
0.15187305;0.9614354;-0.2819293;[ 0.16436127  0.7679273  -0.35634992]
0.5633125;0.5902609;-0.27206042;[ 0.63073343  0.4603181  -0.27526546]
0.13660914;0.96916395;-0.2569129;[ 0.10823926  0.77646947 -0.3346419 ]
0.13734442;0.0878337;-0.31146622;[ 0.11506747 -0.07592069 -0.48591748]
0.1259273;0.11281186;-0.3350877;[ 0.11535141 -0.0137679  -0.4104106 ]
0.051394343;-0.8259508;-0.38536224;[ 0.04454796 -0.8807206  -0.6449078 ]
0.9760449;-0.15342952;-0.6358316;[ 0.89731896 -0.22367729 -0.66099757]
1.1968294;-0.03657414;-0.8681737;[ 0.9539176  0.0470949 -0.8262379]
1.3014956;-0.5580558;-1.160083;[ 1.4376913  -0.55609983 -1.1649541 ]
0.03240732;1.3512243;-0.37365663;[-0.11219789  1.1328919  -0.4259883 ]
0.91925126;0.44176328;-1.7742335;[ 0.9295736  0.329476  -1.8775533]
0.04173818;0.4690327;-0.46209192;[ 0.01967801  0.32258588 -0.56819195]
-0.10757844;-0.24249436;-0.57407033;[ 0.04565117 -0.33296508 -0.58045596]
0.14355212;-0.56179327;-0.6071264;[ 0.3066117  -0.55195266 -0.6256785 ]
0.12476403;-0.45497;-0.8433969;[ 0.18616915 -0.40716493 -0.8630149 ]
0.41759217;-0.96331984;-1.3387735;[ 0.5519412 -1.0107492 -1.2654725]
0.05076071;0.6948001;-0.4367082;[ 0.03558528  0.5062885  -0.39706612]
-1.1425836;1.6248037;-0.002781622;[-1.0514995   1.4742812  -0.17700566]
-0.24082051;0.7593346;0.27058733;[-0.38094193  0.6738968   0.16340487]
-0.9406422;1.0714625;-0.3004199;[-1.0481933   0.9464284  -0.45585623]
-0.052974418;0.50807256;-0.23695791;[-0.11353688  0.26275566 -0.31317857]
-0.027790949;0.037490156;0.5067145;[-0.02838321 -0.06114102  0.08263978]
-0.99485666;1.160837;0.57300365;[-0.9585142  1.0099893  0.0197765]
-0.29044843;-0.11287245;1.0437325;[-0.55602276 -0.18725353  0.41299468]
-0.32418257;-0.020130321;0.47973806;[-0.40210432 -0.14640398  0.21676923]
-0.9635704;1.4536036;-0.06355199;[-0.9618733   1.3703643  -0.10338414]
0.039074473;0.09673143;0.31432173;[ 0.137188   -0.02680764  0.07146779]
0.26963854;0.019374762;-0.05393901;[ 0.22913158 -0.1385831  -0.23217748]
-0.37342203;-0.008806504;0.5603788;[-0.12406416 -0.10750614  0.12329036]
2.512282;-0.88446814;-0.13056149;[ 2.7414334 -1.2753109 -0.9810235]
-0.8055386;3.2924535;0.45764098;[-0.6883225  2.9788566  0.1829996]
20.90006;1.0084759;6.1706424;[23.540154    0.67345524  9.928271  ]
0.58471614;0.7689323;-0.6354542;[ 0.590714    0.4438247  -0.60159457]
0.60078543;0.7706769;-0.7747127;[ 0.5760214  0.4280504 -0.65659  ]
1.7689832;-0.2921027;-1.0258088;[ 2.0714664 -0.4841751 -1.2264194]
-0.60269904;1.3034282;-0.6434642;[-0.49829268  0.96869165 -0.6537911 ]
-1.5167814;2.7221665;0.40856987;[-1.2385887  2.4441938  0.1910209]
-0.63024914;0.91848654;-0.5616493;[-0.49706632  0.67439216 -0.6003194 ]
-0.7243083;1.506967;-0.03578792;[-0.59897876  1.2790903  -0.01123086]
-0.77797085;0.9820573;-0.32519895;[-0.6281245   0.7357514  -0.41758627]
-0.43555707;-0.017064542;-0.65950906;[-0.30842024 -0.13682513 -0.723149  ]
-1.2685697;2.3999445;-0.19975993;[-1.2521213  2.204595  -0.3916852]
-0.5529792;0.6030924;-0.68178123;[-0.5323342   0.44980437 -0.82760996]
0.7152435;-0.050635472;-1.3936961;[ 0.5578454  -0.19809736 -1.3884159 ]
0.014813811;0.9855269;-0.3637787;[ 0.03472583  0.6602378  -0.48275942]
0.0326792;0.03860586;-0.5422411;[ 0.03530791 -0.21554436 -0.7174896 ]
0.42578548;1.1648501;-0.55592406;[ 0.6216702  0.8859089 -0.6429285]
0.42737246;0.17385095;-0.92860997;[ 0.64685804  0.06966649 -1.014096  ]
-0.1515344;-0.012363479;-0.3441687;[-0.09071015 -0.0446259  -0.28543165]
-0.51310545;0.40634406;0.18647037;[-0.3503657   0.44945037  0.13524626]
-0.15624042;0.6162155;0.18730642;[0.05109929 0.584067   0.26343128]
0.006320536;-0.8262822;-0.4579866;[ 0.00748646 -0.8203427  -0.5176004 ]
-0.032316998;0.0682358;-0.6888964;[-0.09584357 -0.1574195  -0.46424165]
-0.054040775;0.07768437;-0.6928262;[-0.04355495 -0.10941732 -0.48088488]
-0.15779437;0.93195015;-0.61437625;[-0.25548857  0.6948391  -0.31775582]
0.42414165;0.70393914;-0.20589218;[ 0.39508826  0.51203054 -0.18468839]
0.35284817;1.6079148;0.25404477;[0.18127865 1.2934564  0.20503604]
0.50544846;0.6867871;-0.19050348;[ 0.5885359   0.51134276 -0.09164494]
-0.22317244;0.12713727;-0.30001965;[-0.2050068   0.02093465 -0.38156906]
-0.088488474;1.3754721;0.24523205;[-0.05190112  1.1369153   0.20932205]
-0.25965822;0.5055201;-0.43950835;[-0.00915135  0.33211613 -0.10816759]
-0.37211257;-0.3518921;-0.80759573;[-0.2459342  -0.40278077 -0.5173731 ]
0.46177822;1.1411648;0.32607996;[0.34096202 0.9171009  0.28287342]
0.38455772;0.25585663;0.085210726;[0.43640164 0.18130125 0.00097748]
-0.46944505;-0.3309607;-0.007136997;[-0.3210926  -0.27362806 -0.18429133]
0.27830994;0.266305;-0.12760471;[ 0.09249507  0.16293286 -0.13046765]
1.0100898;-0.25762814;-1.1713737;[ 0.8166776 -0.2904691 -1.0097884]
-0.22618456;0.37072474;-0.8224604;[-0.21737014  0.23929246 -0.6552635 ]
1.0356395;-0.24924292;-1.9545474;[ 0.85363954 -0.31851697 -1.3759097 ]
-0.2680443;-0.38769394;-1.5057142;[ 0.07283153 -0.45496178 -1.421141  ]
0.5870558;0.9947783;-0.38106492;[ 0.39750952  0.85398227 -0.2416827 ]
0.2057589;1.0056256;-0.24383661;[ 0.19189373  0.7884426  -0.28929082]
0.0048185736;-0.22371362;-0.87513506;[-0.06068651 -0.3232302  -0.59333384]
0.45146298;0.104759194;-0.67567956;[ 0.43775284 -0.06744929 -0.6556801 ]
0.6557665;0.15113267;-0.43579733;[ 0.30493382  0.0171507  -0.34378707]
0.20797986;0.22563608;-0.21441835;[ 0.11210918  0.09100854 -0.31003755]
-0.49440235;-1.1944655;-1.7476163;[-0.05277325 -1.2508565  -1.7383608 ]
0.8369659;0.44367045;-1.7982914;[ 0.8578087  0.2882967 -1.6369597]
-0.97989136;1.123684;-0.6504772;[-1.0410455   1.0581853  -0.76005095]
0.7792167;0.43818182;-1.4120286;[ 0.6630087   0.32072294 -1.4531132 ]
0.7859839;-0.013869643;-0.8345438;[ 0.7265567  -0.10781698 -0.8875528 ]
0.7922261;-0.44076377;-1.8004518;[ 0.7773899 -0.507277  -1.7274557]
-0.5642709;0.7022581;-0.7253866;[-0.5000768   0.49205714 -0.7276906 ]
-0.85161924;1.5389963;-0.679935;[-0.8144572  1.4107906 -0.6473635]
-0.58157486;0.7057699;-0.7707516;[-0.4661116  0.6104928 -0.7412239]
0.80638355;0.067257516;-1.7540823;[ 0.82219243 -0.04103331 -1.5501682 ]
0.736147;-0.8123338;-1.7324784;[ 0.677137   -0.84824884 -1.6412215 ]
0.8686126;1.7589215;-3.0989957;[ 0.84528923  1.3375437  -2.3817184 ]
0.90542334;0.88643324;-1.7994133;[ 0.8963129   0.62978387 -1.8313878 ]
0.7550267;0.5003497;-0.8166295;[ 0.51045614  0.3267256  -0.82157725]
-0.7422642;0.7650326;-0.5167316;[-0.7252738   0.66624546 -0.63221884]
0.7613335;0.08409612;-1.358935;[ 0.61663216 -0.04368705 -1.3525809 ]
0.065671444;0.90463454;-0.28941682;[ 0.13556258  0.71754456 -0.3479931 ]
-0.14747517;0.05131405;-0.49212122;[ 0.0029407  -0.08001988 -0.6234626 ]
0.00080960244;0.9800906;-0.23637158;[-0.05345018  0.77645737 -0.27581963]
-0.56027955;1.2120157;-0.611711;[-0.44887644  1.0006354  -0.5654925 ]
-0.769491;1.2543808;-0.3166685;[-0.75589895  1.1147463  -0.35235655]
-0.8524382;2.0670164;-0.98049426;[-0.88414276  1.8451647  -1.0282964 ]
-0.939194;2.0874007;-0.7854081;[-0.94782174  1.8483374  -0.78290534]
-0.6166652;1.1974703;-0.6539306;[-0.49678326  0.98220706 -0.6680047 ]
-0.4857248;1.1902307;-0.64462;[-0.3885165  0.9960542 -0.5906682]
-0.7085255;1.2580011;-0.39909407;[-0.7135555   1.137262   -0.34426928]
-0.46148878;0.4236042;-0.43832335;[-0.35377038  0.2625572  -0.45921347]
-0.95451933;1.3467053;-0.29377708;[-0.9953531   1.2316023  -0.21679012]
-0.18995063;0.28556734;-0.36671725;[-0.22813089  0.10951792 -0.5967675 ]
-1.1453624;2.1653597;0.051838826;[-1.0632787   1.9499329  -0.05397615]
-0.6052598;1.269238;-0.14121613;[-0.6725151   1.0754837  -0.35047004]
0.6008288;-0.40193206;-0.17066388;[ 0.54487836 -0.46162266 -0.27971363]
0.03840719;0.9371013;-0.022476058;[ 0.19567807  0.7670564  -0.12896422]
0.46886605;0.44724602;-0.6407933;[ 0.5294579   0.30887818 -0.38768685]
0.6834256;1.643425;0.3961591;[0.47457075 1.3155816  0.3146602 ]
2.7170415;0.4160064;-0.38527095;[ 3.8837712  -0.01283838 -0.39176193]
0.506091;-0.39628232;-0.59418553;[ 0.48283613 -0.42744368 -0.4714652 ]
2.2834282;0.55511063;0.20535064;[ 2.3856168   0.279531   -0.10532741]
1.6597985;-0.39709395;-0.46384066;[ 2.149828  -0.6648843 -0.9552893]
0.45050573;-0.33365726;-0.39588767;[ 0.3717417  -0.41687554 -0.37527987]
-0.57666296;1.2446388;-0.780588;[-0.4224975  0.9722155 -0.7742337]
-0.33697307;0.4000486;-0.6683278;[-0.22252734  0.17383339 -0.6814311 ]
-0.5299903;1.2726451;-0.67466474;[-0.3580194  1.0140592 -0.6413055]
-0.89750344;2.1591682;-0.87719476;[-0.89363706  1.8853613  -0.92845345]
-0.50223106;1.2826046;-0.6023779;[-0.40042382  1.0269976  -0.60022503]
-0.5917867;1.2605605;-0.6346136;[-0.46084553  0.99756765 -0.6487082 ]
-0.5536994;0.81733996;-0.6874709;[-0.47818565  0.6201023  -0.7320532 ]
-0.66153497;1.3733991;0.44747788;[-0.46467197  1.1617761   0.38666803]
-1.7069119;2.5841954;-1.7529178;[-1.632485   2.3645954 -1.4718269]
-0.79732865;1.7165923;-1.0092741;[-0.8062546  1.5076656 -0.746772 ]
-0.55366963;0.8192014;-0.7802896;[-0.4681514   0.66566396 -0.6349341 ]
-0.5690571;0.82137924;-0.5506489;[-0.42735952  0.6269187  -0.61563283]
-0.21780373;0.39258575;-0.2280502;[ 0.0051218   0.25948873 -0.32220873]
-0.7310999;0.90888304;-0.20244706;[-0.66254663  0.7473358  -0.32681158]
-0.8413096;1.6161726;-0.7277713;[-0.778599   1.424524  -0.7304158]
1.014002;1.8567202;-3.129385;[ 0.8456953  1.4413462 -2.390647 ]
0.9587244;0.13163519;-1.5539787;[ 0.99323434 -0.00924556 -1.5408047 ]
-1.0296808;1.705878;-0.31228507;[-1.036063   1.5433666 -0.417018 ]
0.94907427;0.17840779;-1.2648007;[ 0.87016225  0.01164734 -1.3153082 ]
0.8735478;-0.7502652;-1.5412778;[ 0.89871114 -0.87834305 -1.5923585 ]
0.91066486;0.22142616;-1.3200508;[ 1.000454    0.12202788 -1.2288762 ]
0.093225345;0.7154798;0.77393895;[0.08065154 0.5829422  0.6389521 ]
0.09406374;1.0223448;-0.3336784;[ 0.13498083  0.7945911  -0.42519507]
0.58496314;0.6612519;-0.26542956;[ 0.6218808   0.4875958  -0.26361424]
0.14522696;1.1150597;-0.16966216;[ 0.01725264  0.86374336 -0.17027926]
0.07025551;-0.75006384;-0.46672118;[ 0.06459187 -0.8669367  -0.6467901 ]
0.041038178;1.3840243;-0.4124425;[-0.11295302  1.10014    -0.6051905 ]
-0.016665414;0.47605062;-0.4848206;[ 0.02704409  0.3007164  -0.6435154 ]
0.63168454;-0.19646285;-1.5873547;[ 0.63241935 -0.30845445 -1.4381714 ]
-0.04699807;0.507075;-0.40675598;[-0.07003947  0.36399388 -0.5369949 ]
0.5286492;-1.0285107;-1.6017306;[ 0.58478457 -1.113267   -1.487346  ]
-0.046191722;-0.1758872;-0.5892341;[ 0.10811962 -0.28349227 -0.6243401 ]
0.8847704;1.1416909;-0.2972167;[ 0.7577682   0.98660666 -0.2915937 ]
0.01834312;-0.17416248;-0.65035975;[ 0.08197509 -0.29999965 -0.6531212 ]
0.7308307;0.1326598;-1.6603668;[ 0.997042    0.00737274 -1.5564312 ]
-0.85334563;1.6488528;-0.6362364;[-0.7983345  1.4462537 -0.6283484]
-0.55451614;0.7617362;-0.71215487;[-0.46876216  0.5489855  -0.7254815 ]
0.8497984;1.6249825;0.53855544;[0.6296236 1.2728513 0.3702854]
-1.3834288;2.5405953;-0.7047187;[-1.3757892  2.2809587 -0.757246 ]
0.78790337;0.95359725;-2.0454254;[ 0.9569078  0.7434598 -2.0360005]
-0.8117234;1.6553829;-0.6744197;[-0.8173504  1.4288167 -0.653393 ]
0.7866153;0.6089837;-0.31472912;[ 0.7540015   0.47870082 -0.2845378 ]
-0.6651035;0.8228207;-0.6999899;[-0.6925947   0.64551604 -0.7343046 ]
1.0257028;1.1820282;0.40714407;[0.55952835 0.9403762  0.63663167]
-0.44039506;-0.08627732;-0.74579644;[-0.43570435 -0.18596365 -0.8142289 ]
0.717473;0.13988526;-1.5820946;[ 0.763618    0.00280682 -1.4189004 ]
0.72854227;-0.30690688;-0.7520088;[ 0.77529573 -0.43399578 -0.84359854]
0.035387598;1.0876194;-0.20937932;[-0.00545461  0.8298067  -0.24596398]
0.12707117;0.13810918;-0.34175575;[ 0.14840496 -0.07540107 -0.48547533]
-0.018898845;0.17893197;-0.26818556;[-0.0077932  -0.04738718 -0.53133726]
-0.53626573;1.2531109;-0.7661978;[-0.38763195  1.0368824  -0.7229169 ]
-0.70418614;1.3401872;-0.46182;[-0.6732637  1.0716966 -0.5143233]
-1.250692;2.244437;-0.33105135;[-1.069294    1.9734674  -0.37168255]
-0.24288417;0.42269784;-0.70788586;[-0.14638396  0.24538825 -0.67912495]
-0.40711015;0.4911701;-0.4138208;[-0.38384008  0.25950235 -0.5453549 ]
-0.37002182;0.4808032;-0.39112806;[-0.28349495  0.29570448 -0.46681488]
0.042245593;-0.4584325;-0.7318655;[ 0.01940142 -0.51992834 -0.73504907]
-0.48456472;0.84155023;-0.2019614;[-0.3058176   0.66788584 -0.34968448]
-0.6334049;1.3790125;0.73795605;[-0.48952502  1.1785593   0.6441252 ]
-0.53709596;0.81144476;-0.6043308;[-0.3843705   0.72515535 -0.48875824]
-0.58371884;0.8284905;-0.23803458;[-0.431238    0.65725374 -0.3258145 ]
-0.34506005;-0.036239557;-0.6014834;[-0.25708425 -0.04031201 -0.5133252 ]
-1.6947924;2.6149113;-0.67683;[-1.613556   2.3553972 -1.188244 ]
-1.222142;2.2767918;0.9043975;[-0.9383385   2.0432189   0.81381524]
-0.75716597;1.7066692;-0.73139703;[-0.738013    1.5388349  -0.63229376]
-0.6369;1.373798;0.7098971;[-0.5348317  1.1847347  0.6116615]
-0.44187963;1.3067205;-0.037092667;[-0.36354876  1.1069406   0.04586136]
-0.4176523;-0.06649144;0.008533072;[-0.27949828 -0.11128247 -0.1657552 ]
-0.8451141;1.4344091;0.8481896;[-0.84610116  1.2825898   0.7661337 ]
-0.5758713;0.8206438;-0.68930703;[-0.48164618  0.6274291  -0.6925493 ]
-0.37598133;-0.050220907;-0.21113092;[-0.31176436 -0.11572181 -0.17138843]
-0.66573083;1.6346425;-0.13002726;[-0.7296668   1.433881   -0.28551263]
-0.95869154;1.6713578;-0.53807276;[-0.92105603  1.4928066  -0.6800372 ]
-0.37335896;-0.061570197;-0.47782218;[-0.29489273 -0.17478308 -0.5336557 ]
-0.20122214;-1.0030106;-0.40066558;[-0.21504702 -1.067661   -0.53485847]
-0.27901137;-0.007372007;-0.735342;[-0.20915769 -0.0585221  -0.71235967]
-1.6951926;2.6620927;-0.8583112;[-1.6352563  2.3654244 -1.2210394]
-0.83453244;1.7477084;-0.64394134;[-0.84771895  1.4933493  -0.79924476]
-0.4567964;0.82129043;-0.8049704;[-0.459297   0.6577083 -0.7082596]
-0.8538793;1.7663299;-0.5969633;[-0.858711    1.5040063  -0.66059947]
-0.4912941;0.8809408;-0.5277687;[-0.36631733  0.6556788  -0.50766814]
-0.29718262;0.40772015;-0.39703438;[-0.13954075  0.23812124 -0.4049776 ]
-1.1715069;1.8095105;-0.29743135;[-0.9899498   1.609472   -0.31029004]
-0.5798927;0.88766557;-0.6152987;[-0.46214765  0.6274878  -0.61539894]
-0.62165076;0.90603966;-0.4769143;[-0.6336881   0.7780951  -0.48425856]
-0.62842435;0.90235305;-0.29029328;[-0.5500185   0.74408793 -0.3481612 ]
-0.43602538;0.022508074;-0.5688554;[-0.44705105  0.01236632 -0.56975347]
-0.5988819;0.91181487;0.0777393;[-0.6201458   0.7341174  -0.05817327]
-0.25680584;0.03876361;-0.61013967;[-0.15934853 -0.11641133 -0.5706134 ]
0.84732467;0.5992962;-1.4119288;[ 1.0757949  0.5622388 -1.4558848]
0.82278156;0.18057987;-1.2221394;[ 0.7294619   0.08384101 -1.1080389 ]
0.91352713;1.4915391;-1.7467954;[ 1.0074997  1.2673663 -2.0635962]
-0.8115485;1.78449;-0.13611442;[-0.8404926   1.6096741  -0.25215122]
0.8893803;1.0603819;-1.300519;[ 0.6800921   0.79402494 -1.2271471 ]
0.92120117;0.6367311;-0.588189;[ 0.71455646  0.40756834 -0.42366865]
-0.4938504;0.8973533;-0.29182196;[-0.46082819  0.7714357  -0.36000782]
0.8375489;0.17595044;-1.3987572;[ 0.70358     0.07528828 -1.2090676 ]
